ID_Pinjaman,Gender,Menikah,Bergantung,Edukasi,Wiraswasta,GajiPeminjam,GajiCoapplicant,JumlahPinjaman,BungaPinjaman,RiwayatKredit,AreaRumah,StatusPinjaman
LP001002,Pria,T,0,Lulus,T,5849,0,,360,1,Kota,Y
LP001003,Pria,Y,1,Lulus,T,4583,1508,128,360,1,Desa,T
LP001005,Pria,Y,0,Lulus,Y,3000,0,66,360,1,Kota,Y
LP001006,Pria,Y,0,Tidak Lulus,T,2583,2358,120,360,1,Kota,Y
LP001008,Pria,T,0,Lulus,T,6000,0,141,360,1,Kota,Y
LP001011,Pria,Y,2,Lulus,Y,5417,4196,267,360,1,Kota,Y
LP001013,Pria,Y,0,Tidak Lulus,T,2333,1516,95,360,1,Kota,Y
LP001014,Pria,Y,3+,Lulus,T,3036,2504,158,360,0,Semikota,T
LP001018,Pria,Y,2,Lulus,T,4006,1526,168,360,1,Kota,Y
LP001020,Pria,Y,1,Lulus,T,12841,10968,349,360,1,Semikota,T
LP001024,Pria,Y,2,Lulus,T,3200,700,70,360,1,Kota,Y
LP001027,Pria,Y,2,Lulus,,2500,1840,109,360,1,Kota,Y
LP001028,Pria,Y,2,Lulus,T,3073,8106,200,360,1,Kota,Y
LP001029,Pria,T,0,Lulus,T,1853,2840,114,360,1,Desa,T
LP001030,Pria,Y,2,Lulus,T,1299,1086,17,120,1,Kota,Y
LP001032,Pria,T,0,Lulus,T,4950,0,125,360,1,Kota,Y
LP001034,Pria,T,1,Tidak Lulus,T,3596,0,100,240,,Kota,Y
LP001036,Wanita,T,0,Lulus,T,3510,0,76,360,0,Kota,T
LP001038,Pria,Y,0,Tidak Lulus,T,4887,0,133,360,1,Desa,T
LP001041,Pria,Y,0,Lulus,,2600,3500,115,,1,Kota,Y
LP001043,Pria,Y,0,Tidak Lulus,T,7660,0,104,360,0,Kota,T
LP001046,Pria,Y,1,Lulus,T,5955,5625,315,360,1,Kota,Y
LP001047,Pria,Y,0,Tidak Lulus,T,2600,1911,116,360,0,Semikota,T
LP001050,,Y,2,Tidak Lulus,T,3365,1917,112,360,0,Desa,T
LP001052,Pria,Y,1,Lulus,,3717,2925,151,360,,Semikota,T
LP001066,Pria,Y,0,Lulus,Y,9560,0,191,360,1,Semikota,Y
LP001068,Pria,Y,0,Lulus,T,2799,2253,122,360,1,Semikota,Y
LP001073,Pria,Y,2,Tidak Lulus,T,4226,1040,110,360,1,Kota,Y
LP001086,Pria,T,0,Tidak Lulus,T,1442,0,35,360,1,Kota,T
LP001087,Wanita,T,2,Lulus,,3750,2083,120,360,1,Semikota,Y
LP001091,Pria,Y,1,Lulus,,4166,3369,201,360,,Kota,T
LP001095,Pria,T,0,Lulus,T,3167,0,74,360,1,Kota,T
LP001097,Pria,T,1,Lulus,Y,4692,0,106,360,1,Desa,T
LP001098,Pria,Y,0,Lulus,T,3500,1667,114,360,1,Semikota,Y
LP001100,Pria,T,3+,Lulus,T,12500,3000,320,360,1,Desa,T
LP001106,Pria,Y,0,Lulus,T,2275,2067,,360,1,Kota,Y
LP001109,Pria,Y,0,Lulus,T,1828,1330,100,,0,Kota,T
LP001112,Wanita,Y,0,Lulus,T,3667,1459,144,360,1,Semikota,Y
LP001114,Pria,T,0,Lulus,T,4166,7210,184,360,1,Kota,Y
LP001116,Pria,T,0,Tidak Lulus,T,3748,1668,110,360,1,Semikota,Y
LP001119,Pria,T,0,Lulus,T,3600,0,80,360,1,Kota,T
LP001120,Pria,T,0,Lulus,T,1800,1213,47,360,1,Kota,Y
LP001123,Pria,Y,0,Lulus,T,2400,0,75,360,,Kota,Y
LP001131,Pria,Y,0,Lulus,T,3941,2336,134,360,1,Semikota,Y
LP001136,Pria,Y,0,Tidak Lulus,Y,4695,0,96,,1,Kota,Y
LP001137,Wanita,T,0,Lulus,T,3410,0,88,,1,Kota,Y
LP001138,Pria,Y,1,Lulus,T,5649,0,44,360,1,Kota,Y
LP001144,Pria,Y,0,Lulus,T,5821,0,144,360,1,Kota,Y
LP001146,Wanita,Y,0,Lulus,T,2645,3440,120,360,0,Kota,T
LP001151,Wanita,T,0,Lulus,T,4000,2275,144,360,1,Semikota,Y
LP001155,Wanita,Y,0,Tidak Lulus,T,1928,1644,100,360,1,Semikota,Y
LP001157,Wanita,T,0,Lulus,T,3086,0,120,360,1,Semikota,Y
LP001164,Wanita,T,0,Lulus,T,4230,0,112,360,1,Semikota,T
LP001179,Pria,Y,2,Lulus,T,4616,0,134,360,1,Kota,T
LP001186,Wanita,Y,1,Lulus,Y,11500,0,286,360,0,Kota,T
LP001194,Pria,Y,2,Lulus,T,2708,1167,97,360,1,Semikota,Y
LP001195,Pria,Y,0,Lulus,T,2132,1591,96,360,1,Semikota,Y
LP001197,Pria,Y,0,Lulus,T,3366,2200,135,360,1,Desa,T
LP001198,Pria,Y,1,Lulus,T,8080,2250,180,360,1,Kota,Y
LP001199,Pria,Y,2,Tidak Lulus,T,3357,2859,144,360,1,Kota,Y
LP001205,Pria,Y,0,Lulus,T,2500,3796,120,360,1,Kota,Y
LP001206,Pria,Y,3+,Lulus,T,3029,0,99,360,1,Kota,Y
LP001207,Pria,Y,0,Tidak Lulus,Y,2609,3449,165,180,0,Desa,T
LP001213,Pria,Y,1,Lulus,T,4945,0,,360,0,Desa,T
LP001222,Wanita,T,0,Lulus,T,4166,0,116,360,0,Semikota,T
LP001225,Pria,Y,0,Lulus,T,5726,4595,258,360,1,Semikota,T
LP001228,Pria,T,0,Tidak Lulus,T,3200,2254,126,180,0,Kota,T
LP001233,Pria,Y,1,Lulus,T,10750,0,312,360,1,Kota,Y
LP001238,Pria,Y,3+,Tidak Lulus,Y,7100,0,125,60,1,Kota,Y
LP001241,Wanita,T,0,Lulus,T,4300,0,136,360,0,Semikota,T
LP001243,Pria,Y,0,Lulus,T,3208,3066,172,360,1,Kota,Y
LP001245,Pria,Y,2,Tidak Lulus,Y,1875,1875,97,360,1,Semikota,Y
LP001248,Pria,T,0,Lulus,T,3500,0,81,300,1,Semikota,Y
LP001250,Pria,Y,3+,Tidak Lulus,T,4755,0,95,,0,Semikota,T
LP001253,Pria,Y,3+,Lulus,Y,5266,1774,187,360,1,Semikota,Y
LP001255,Pria,T,0,Lulus,T,3750,0,113,480,1,Kota,T
LP001256,Pria,T,0,Lulus,T,3750,4750,176,360,1,Kota,T
LP001259,Pria,Y,1,Lulus,Y,1000,3022,110,360,1,Kota,T
LP001263,Pria,Y,3+,Lulus,T,3167,4000,180,300,0,Semikota,T
LP001264,Pria,Y,3+,Tidak Lulus,Y,3333,2166,130,360,,Semikota,Y
LP001265,Wanita,T,0,Lulus,T,3846,0,111,360,1,Semikota,Y
LP001266,Pria,Y,1,Lulus,Y,2395,0,,360,1,Semikota,Y
LP001267,Wanita,Y,2,Lulus,T,1378,1881,167,360,1,Kota,T
LP001273,Pria,Y,0,Lulus,T,6000,2250,265,360,,Semikota,T
LP001275,Pria,Y,1,Lulus,T,3988,0,50,240,1,Kota,Y
LP001279,Pria,T,0,Lulus,T,2366,2531,136,360,1,Semikota,Y
LP001280,Pria,Y,2,Tidak Lulus,T,3333,2000,99,360,,Semikota,Y
LP001282,Pria,Y,0,Lulus,T,2500,2118,104,360,1,Semikota,Y
LP001289,Pria,T,0,Lulus,T,8566,0,210,360,1,Kota,Y
LP001310,Pria,Y,0,Lulus,T,5695,4167,175,360,1,Semikota,Y
LP001316,Pria,Y,0,Lulus,T,2958,2900,131,360,1,Semikota,Y
LP001318,Pria,Y,2,Lulus,T,6250,5654,188,180,1,Semikota,Y
LP001319,Pria,Y,2,Tidak Lulus,T,3273,1820,81,360,1,Kota,Y
LP001322,Pria,T,0,Lulus,T,4133,0,122,360,1,Semikota,Y
LP001325,Pria,T,0,Tidak Lulus,T,3620,0,25,120,1,Semikota,Y
LP001326,Pria,T,0,Lulus,,6782,0,,360,,Kota,T
LP001327,Wanita,Y,0,Lulus,T,2484,2302,137,360,1,Semikota,Y
LP001333,Pria,Y,0,Lulus,T,1977,997,50,360,1,Semikota,Y
LP001334,Pria,Y,0,Tidak Lulus,T,4188,0,115,180,1,Semikota,Y
LP001343,Pria,Y,0,Lulus,T,1759,3541,131,360,1,Semikota,Y
LP001345,Pria,Y,2,Tidak Lulus,T,4288,3263,133,180,1,Kota,Y
LP001349,Pria,T,0,Lulus,T,4843,3806,151,360,1,Semikota,Y
LP001350,Pria,Y,,Lulus,T,13650,0,,360,1,Kota,Y
LP001356,Pria,Y,0,Lulus,T,4652,3583,,360,1,Semikota,Y
LP001357,Pria,,,Lulus,T,3816,754,160,360,1,Kota,Y
LP001367,Pria,Y,1,Lulus,T,3052,1030,100,360,1,Kota,Y
LP001369,Pria,Y,2,Lulus,T,11417,1126,225,360,1,Kota,Y
LP001370,Pria,T,0,Tidak Lulus,,7333,0,120,360,1,Desa,T
LP001379,Pria,Y,2,Lulus,T,3800,3600,216,360,0,Kota,T
LP001384,Pria,Y,3+,Tidak Lulus,T,2071,754,94,480,1,Semikota,Y
LP001385,Pria,T,0,Lulus,T,5316,0,136,360,1,Kota,Y
LP001387,Wanita,Y,0,Lulus,,2929,2333,139,360,1,Semikota,Y
LP001391,Pria,Y,0,Tidak Lulus,T,3572,4114,152,,0,Desa,T
LP001392,Wanita,T,1,Lulus,Y,7451,0,,360,1,Semikota,Y
LP001398,Pria,T,0,Lulus,,5050,0,118,360,1,Semikota,Y
LP001401,Pria,Y,1,Lulus,T,14583,0,185,180,1,Desa,Y
LP001404,Wanita,Y,0,Lulus,T,3167,2283,154,360,1,Semikota,Y
LP001405,Pria,Y,1,Lulus,T,2214,1398,85,360,,Kota,Y
LP001421,Pria,Y,0,Lulus,T,5568,2142,175,360,1,Desa,T
LP001422,Wanita,T,0,Lulus,T,10408,0,259,360,1,Kota,Y
LP001426,Pria,Y,,Lulus,T,5667,2667,180,360,1,Desa,Y
LP001430,Wanita,T,0,Lulus,T,4166,0,44,360,1,Semikota,Y
LP001431,Wanita,T,0,Lulus,T,2137,8980,137,360,0,Semikota,Y
LP001432,Pria,Y,2,Lulus,T,2957,0,81,360,1,Semikota,Y
LP001439,Pria,Y,0,Tidak Lulus,T,4300,2014,194,360,1,Desa,Y
LP001443,Wanita,T,0,Lulus,T,3692,0,93,360,,Desa,Y
LP001448,,Y,3+,Lulus,T,23803,0,370,360,1,Desa,Y
LP001449,Pria,T,0,Lulus,T,3865,1640,,360,1,Desa,Y
LP001451,Pria,Y,1,Lulus,Y,10513,3850,160,180,0,Kota,T
LP001465,Pria,Y,0,Lulus,T,6080,2569,182,360,,Desa,T
LP001469,Pria,T,0,Lulus,Y,20166,0,650,480,,Kota,Y
LP001473,Pria,T,0,Lulus,T,2014,1929,74,360,1,Kota,Y
LP001478,Pria,T,0,Lulus,T,2718,0,70,360,1,Semikota,Y
LP001482,Pria,Y,0,Lulus,Y,3459,0,25,120,1,Semikota,Y
LP001487,Pria,T,0,Lulus,T,4895,0,102,360,1,Semikota,Y
LP001488,Pria,Y,3+,Lulus,T,4000,7750,290,360,1,Semikota,T
LP001489,Wanita,Y,0,Lulus,T,4583,0,84,360,1,Desa,T
LP001491,Pria,Y,2,Lulus,Y,3316,3500,88,360,1,Kota,Y
LP001492,Pria,T,0,Lulus,T,14999,0,242,360,0,Semikota,T
LP001493,Pria,Y,2,Tidak Lulus,T,4200,1430,129,360,1,Desa,T
LP001497,Pria,Y,2,Lulus,T,5042,2083,185,360,1,Desa,T
LP001498,Pria,T,0,Lulus,T,5417,0,168,360,1,Kota,Y
LP001504,Pria,T,0,Lulus,Y,6950,0,175,180,1,Semikota,Y
LP001507,Pria,Y,0,Lulus,T,2698,2034,122,360,1,Semikota,Y
LP001508,Pria,Y,2,Lulus,T,11757,0,187,180,1,Kota,Y
LP001514,Wanita,Y,0,Lulus,T,2330,4486,100,360,1,Semikota,Y
LP001516,Wanita,Y,2,Lulus,T,14866,0,70,360,1,Kota,Y
LP001518,Pria,Y,1,Lulus,T,1538,1425,30,360,1,Kota,Y
LP001519,Wanita,T,0,Lulus,T,10000,1666,225,360,1,Desa,T
LP001520,Pria,Y,0,Lulus,T,4860,830,125,360,1,Semikota,Y
LP001528,Pria,T,0,Lulus,T,6277,0,118,360,0,Desa,T
LP001529,Pria,Y,0,Lulus,Y,2577,3750,152,360,1,Desa,Y
LP001531,Pria,T,0,Lulus,T,9166,0,244,360,1,Kota,T
LP001532,Pria,Y,2,Tidak Lulus,T,2281,0,113,360,1,Desa,T
LP001535,Pria,T,0,Lulus,T,3254,0,50,360,1,Kota,Y
LP001536,Pria,Y,3+,Lulus,T,39999,0,600,180,0,Semikota,Y
LP001541,Pria,Y,1,Lulus,T,6000,0,160,360,,Desa,Y
LP001543,Pria,Y,1,Lulus,T,9538,0,187,360,1,Kota,Y
LP001546,Pria,T,0,Lulus,,2980,2083,120,360,1,Desa,Y
LP001552,Pria,Y,0,Lulus,T,4583,5625,255,360,1,Semikota,Y
LP001560,Pria,Y,0,Tidak Lulus,T,1863,1041,98,360,1,Semikota,Y
LP001562,Pria,Y,0,Lulus,T,7933,0,275,360,1,Kota,T
LP001565,Pria,Y,1,Lulus,T,3089,1280,121,360,0,Semikota,T
LP001570,Pria,Y,2,Lulus,T,4167,1447,158,360,1,Desa,Y
LP001572,Pria,Y,0,Lulus,T,9323,0,75,180,1,Kota,Y
LP001574,Pria,Y,0,Lulus,T,3707,3166,182,,1,Desa,Y
LP001577,Wanita,Y,0,Lulus,T,4583,0,112,360,1,Desa,T
LP001578,Pria,Y,0,Lulus,T,2439,3333,129,360,1,Desa,Y
LP001579,Pria,T,0,Lulus,T,2237,0,63,480,0,Semikota,T
LP001580,Pria,Y,2,Lulus,T,8000,0,200,360,1,Semikota,Y
LP001581,Pria,Y,0,Tidak Lulus,,1820,1769,95,360,1,Desa,Y
LP001585,,Y,3+,Lulus,T,51763,0,700,300,1,Kota,Y
LP001586,Pria,Y,3+,Tidak Lulus,T,3522,0,81,180,1,Desa,T
LP001594,Pria,Y,0,Lulus,T,5708,5625,187,360,1,Semikota,Y
LP001603,Pria,Y,0,Tidak Lulus,Y,4344,736,87,360,1,Semikota,T
LP001606,Pria,Y,0,Lulus,T,3497,1964,116,360,1,Desa,Y
LP001608,Pria,Y,2,Lulus,T,2045,1619,101,360,1,Desa,Y
LP001610,Pria,Y,3+,Lulus,T,5516,11300,495,360,0,Semikota,T
LP001616,Pria,Y,1,Lulus,T,3750,0,116,360,1,Semikota,Y
LP001630,Pria,T,0,Tidak Lulus,T,2333,1451,102,480,0,Kota,T
LP001633,Pria,Y,1,Lulus,T,6400,7250,180,360,0,Kota,T
LP001634,Pria,T,0,Lulus,T,1916,5063,67,360,,Desa,T
LP001636,Pria,Y,0,Lulus,T,4600,0,73,180,1,Semikota,Y
LP001637,Pria,Y,1,Lulus,T,33846,0,260,360,1,Semikota,T
LP001639,Wanita,Y,0,Lulus,T,3625,0,108,360,1,Semikota,Y
LP001640,Pria,Y,0,Lulus,Y,39147,4750,120,360,1,Semikota,Y
LP001641,Pria,Y,1,Lulus,Y,2178,0,66,300,0,Desa,T
LP001643,Pria,Y,0,Lulus,T,2383,2138,58,360,,Desa,Y
LP001644,,Y,0,Lulus,Y,674,5296,168,360,1,Desa,Y
LP001647,Pria,Y,0,Lulus,T,9328,0,188,180,1,Desa,Y
LP001653,Pria,T,0,Tidak Lulus,T,4885,0,48,360,1,Desa,Y
LP001656,Pria,T,0,Lulus,T,12000,0,164,360,1,Semikota,T
LP001657,Pria,Y,0,Tidak Lulus,T,6033,0,160,360,1,Kota,T
LP001658,Pria,T,0,Lulus,T,3858,0,76,360,1,Semikota,Y
LP001664,Pria,T,0,Lulus,T,4191,0,120,360,1,Desa,Y
LP001665,Pria,Y,1,Lulus,T,3125,2583,170,360,1,Semikota,T
LP001666,Pria,T,0,Lulus,T,8333,3750,187,360,1,Desa,Y
LP001669,Wanita,T,0,Tidak Lulus,T,1907,2365,120,,1,Kota,Y
LP001671,Wanita,Y,0,Lulus,T,3416,2816,113,360,,Semikota,Y
LP001673,Pria,T,0,Lulus,Y,11000,0,83,360,1,Kota,T
LP001674,Pria,Y,1,Tidak Lulus,T,2600,2500,90,360,1,Semikota,Y
LP001677,Pria,T,2,Lulus,T,4923,0,166,360,0,Semikota,Y
LP001682,Pria,Y,3+,Tidak Lulus,T,3992,0,,180,1,Kota,T
LP001688,Pria,Y,1,Tidak Lulus,T,3500,1083,135,360,1,Kota,Y
LP001691,Pria,Y,2,Tidak Lulus,T,3917,0,124,360,1,Semikota,Y
LP001692,Wanita,T,0,Tidak Lulus,T,4408,0,120,360,1,Semikota,Y
LP001693,Wanita,T,0,Lulus,T,3244,0,80,360,1,Kota,Y
LP001698,Pria,T,0,Tidak Lulus,T,3975,2531,55,360,1,Desa,Y
LP001699,Pria,T,0,Lulus,T,2479,0,59,360,1,Kota,Y
LP001702,Pria,T,0,Lulus,T,3418,0,127,360,1,Semikota,T
LP001708,Wanita,T,0,Lulus,T,10000,0,214,360,1,Semikota,T
LP001711,Pria,Y,3+,Lulus,T,3430,1250,128,360,0,Semikota,T
LP001713,Pria,Y,1,Lulus,Y,7787,0,240,360,1,Kota,Y
LP001715,Pria,Y,3+,Tidak Lulus,Y,5703,0,130,360,1,Desa,Y
LP001716,Pria,Y,0,Lulus,T,3173,3021,137,360,1,Kota,Y
LP001720,Pria,Y,3+,Tidak Lulus,T,3850,983,100,360,1,Semikota,Y
LP001722,Pria,Y,0,Lulus,T,150,1800,135,360,1,Desa,T
LP001726,Pria,Y,0,Lulus,T,3727,1775,131,360,1,Semikota,Y
LP001732,Pria,Y,2,Lulus,,5000,0,72,360,0,Semikota,T
LP001734,Wanita,Y,2,Lulus,T,4283,2383,127,360,,Semikota,Y
LP001736,Pria,Y,0,Lulus,T,2221,0,60,360,0,Kota,T
LP001743,Pria,Y,2,Lulus,T,4009,1717,116,360,1,Semikota,Y
LP001744,Pria,T,0,Lulus,T,2971,2791,144,360,1,Semikota,Y
LP001749,Pria,Y,0,Lulus,T,7578,1010,175,,1,Semikota,Y
LP001750,Pria,Y,0,Lulus,T,6250,0,128,360,1,Semikota,Y
LP001751,Pria,Y,0,Lulus,T,3250,0,170,360,1,Desa,T
LP001754,Pria,Y,,Tidak Lulus,Y,4735,0,138,360,1,Kota,T
LP001758,Pria,Y,2,Lulus,T,6250,1695,210,360,1,Semikota,Y
LP001760,Pria,,,Lulus,T,4758,0,158,480,1,Semikota,Y
LP001761,Pria,T,0,Lulus,Y,6400,0,200,360,1,Desa,Y
LP001765,Pria,Y,1,Lulus,T,2491,2054,104,360,1,Semikota,Y
LP001768,Pria,Y,0,Lulus,,3716,0,42,180,1,Desa,Y
LP001770,Pria,T,0,Tidak Lulus,T,3189,2598,120,,1,Desa,Y
LP001776,Wanita,T,0,Lulus,T,8333,0,280,360,1,Semikota,Y
LP001778,Pria,Y,1,Lulus,T,3155,1779,140,360,1,Semikota,Y
LP001784,Pria,Y,1,Lulus,T,5500,1260,170,360,1,Desa,Y
LP001786,Pria,Y,0,Lulus,,5746,0,255,360,,Kota,T
LP001788,Wanita,T,0,Lulus,Y,3463,0,122,360,,Kota,Y
LP001790,Wanita,T,1,Lulus,T,3812,0,112,360,1,Desa,Y
LP001792,Pria,Y,1,Lulus,T,3315,0,96,360,1,Semikota,Y
LP001798,Pria,Y,2,Lulus,T,5819,5000,120,360,1,Desa,Y
LP001800,Pria,Y,1,Tidak Lulus,T,2510,1983,140,180,1,Kota,T
LP001806,Pria,T,0,Lulus,T,2965,5701,155,60,1,Kota,Y
LP001807,Pria,Y,2,Lulus,Y,6250,1300,108,360,1,Desa,Y
LP001811,Pria,Y,0,Tidak Lulus,T,3406,4417,123,360,1,Semikota,Y
LP001813,Pria,T,0,Lulus,Y,6050,4333,120,180,1,Kota,T
LP001814,Pria,Y,2,Lulus,T,9703,0,112,360,1,Kota,Y
LP001819,Pria,Y,1,Tidak Lulus,T,6608,0,137,180,1,Kota,Y
LP001824,Pria,Y,1,Lulus,T,2882,1843,123,480,1,Semikota,Y
LP001825,Pria,Y,0,Lulus,T,1809,1868,90,360,1,Kota,Y
LP001835,Pria,Y,0,Tidak Lulus,T,1668,3890,201,360,0,Semikota,T
LP001836,Wanita,T,2,Lulus,T,3427,0,138,360,1,Kota,T
LP001841,Pria,T,0,Tidak Lulus,Y,2583,2167,104,360,1,Desa,Y
LP001843,Pria,Y,1,Tidak Lulus,T,2661,7101,279,180,1,Semikota,Y
LP001844,Pria,T,0,Lulus,Y,16250,0,192,360,0,Kota,T
LP001846,Wanita,T,3+,Lulus,T,3083,0,255,360,1,Desa,Y
LP001849,Pria,T,0,Tidak Lulus,T,6045,0,115,360,0,Desa,T
LP001854,Pria,Y,3+,Lulus,T,5250,0,94,360,1,Kota,T
LP001859,Pria,Y,0,Lulus,T,14683,2100,304,360,1,Desa,T
LP001864,Pria,Y,3+,Tidak Lulus,T,4931,0,128,360,,Semikota,T
LP001865,Pria,Y,1,Lulus,T,6083,4250,330,360,,Kota,Y
LP001868,Pria,T,0,Lulus,T,2060,2209,134,360,1,Semikota,Y
LP001870,Wanita,T,1,Lulus,T,3481,0,155,36,1,Semikota,T
LP001871,Wanita,T,0,Lulus,T,7200,0,120,360,1,Desa,Y
LP001872,Pria,T,0,Lulus,Y,5166,0,128,360,1,Semikota,Y
LP001875,Pria,T,0,Lulus,T,4095,3447,151,360,1,Desa,Y
LP001877,Pria,Y,2,Lulus,T,4708,1387,150,360,1,Semikota,Y
LP001882,Pria,Y,3+,Lulus,T,4333,1811,160,360,0,Kota,Y
LP001883,Wanita,T,0,Lulus,,3418,0,135,360,1,Desa,T
LP001884,Wanita,T,1,Lulus,T,2876,1560,90,360,1,Kota,Y
LP001888,Wanita,T,0,Lulus,T,3237,0,30,360,1,Kota,Y
LP001891,Pria,Y,0,Lulus,T,11146,0,136,360,1,Kota,Y
LP001892,Pria,T,0,Lulus,T,2833,1857,126,360,1,Desa,Y
LP001894,Pria,Y,0,Lulus,T,2620,2223,150,360,1,Semikota,Y
LP001896,Pria,Y,2,Lulus,T,3900,0,90,360,1,Semikota,Y
LP001900,Pria,Y,1,Lulus,T,2750,1842,115,360,1,Semikota,Y
LP001903,Pria,Y,0,Lulus,T,3993,3274,207,360,1,Semikota,Y
LP001904,Pria,Y,0,Lulus,T,3103,1300,80,360,1,Kota,Y
LP001907,Pria,Y,0,Lulus,T,14583,0,436,360,1,Semikota,Y
LP001908,Wanita,Y,0,Tidak Lulus,T,4100,0,124,360,,Desa,Y
LP001910,Pria,T,1,Tidak Lulus,Y,4053,2426,158,360,0,Kota,T
LP001914,Pria,Y,0,Lulus,T,3927,800,112,360,1,Semikota,Y
LP001915,Pria,Y,2,Lulus,T,2301,985.7999878,78,180,1,Kota,Y
LP001917,Wanita,T,0,Lulus,T,1811,1666,54,360,1,Kota,Y
LP001922,Pria,Y,0,Lulus,T,20667,0,,360,1,Desa,T
LP001924,Pria,T,0,Lulus,T,3158,3053,89,360,1,Desa,Y
LP001925,Wanita,T,0,Lulus,Y,2600,1717,99,300,1,Semikota,T
LP001926,Pria,Y,0,Lulus,T,3704,2000,120,360,1,Desa,Y
LP001931,Wanita,T,0,Lulus,T,4124,0,115,360,1,Semikota,Y
LP001935,Pria,T,0,Lulus,T,9508,0,187,360,1,Desa,Y
LP001936,Pria,Y,0,Lulus,T,3075,2416,139,360,1,Desa,Y
LP001938,Pria,Y,2,Lulus,T,4400,0,127,360,0,Semikota,T
LP001940,Pria,Y,2,Lulus,T,3153,1560,134,360,1,Kota,Y
LP001945,Wanita,T,,Lulus,T,5417,0,143,480,0,Kota,T
LP001947,Pria,Y,0,Lulus,T,2383,3334,172,360,1,Semikota,Y
LP001949,Pria,Y,3+,Lulus,,4416,1250,110,360,1,Kota,Y
LP001953,Pria,Y,1,Lulus,T,6875,0,200,360,1,Semikota,Y
LP001954,Wanita,Y,1,Lulus,T,4666,0,135,360,1,Kota,Y
LP001955,Wanita,T,0,Lulus,T,5000,2541,151,480,1,Desa,T
LP001963,Pria,Y,1,Lulus,T,2014,2925,113,360,1,Kota,T
LP001964,Pria,Y,0,Tidak Lulus,T,1800,2934,93,360,0,Kota,T
LP001972,Pria,Y,,Tidak Lulus,T,2875,1750,105,360,1,Semikota,Y
LP001974,Wanita,T,0,Lulus,T,5000,0,132,360,1,Desa,Y
LP001977,Pria,Y,1,Lulus,T,1625,1803,96,360,1,Kota,Y
LP001978,Pria,T,0,Lulus,T,4000,2500,140,360,1,Desa,Y
LP001990,Pria,T,0,Tidak Lulus,T,2000,0,,360,1,Kota,T
