ID_Pinjaman,Gender,Menikah,Bergantung,Edukasi,Wiraswasta,GajiPeminjam,GajiCoapplicant,JumlahPinjaman,BungaPinjaman,RiwayatKredit,AreaRumah,StatusPinjaman
LP001993,Wanita,T,0,Lulus,T,3762,1666,135,360,1,Desa,Y
LP001994,Wanita,T,0,Lulus,T,2400,1863,104,360,0,Kota,T
LP001996,Pria,T,0,Lulus,T,20233,0,480,360,1,Desa,T
LP001998,Pria,Y,2,Tidak Lulus,T,7667,0,185,360,,Desa,Y
LP002002,Wanita,T,0,Lulus,T,2917,0,84,360,1,Semikota,Y
LP002004,Pria,T,0,Tidak Lulus,T,2927,2405,111,360,1,Semikota,Y
LP002006,Wanita,T,0,Lulus,T,2507,0,56,360,1,Desa,Y
LP002008,Pria,Y,2,Lulus,Y,5746,0,144,84,,Desa,Y
LP002024,,Y,0,Lulus,T,2473,1843,159,360,1,Desa,T
LP002031,Pria,Y,1,Tidak Lulus,T,3399,1640,111,180,1,Kota,Y
LP002035,Pria,Y,2,Lulus,T,3717,0,120,360,1,Semikota,Y
LP002036,Pria,Y,0,Lulus,T,2058,2134,88,360,,Kota,Y
LP002043,Wanita,T,1,Lulus,T,3541,0,112,360,,Semikota,Y
LP002050,Pria,Y,1,Lulus,Y,10000,0,155,360,1,Desa,T
LP002051,Pria,Y,0,Lulus,T,2400,2167,115,360,1,Semikota,Y
LP002053,Pria,Y,3+,Lulus,T,4342,189,124,360,1,Semikota,Y
LP002054,Pria,Y,2,Tidak Lulus,T,3601,1590,,360,1,Desa,Y
LP002055,Wanita,T,0,Lulus,T,3166,2985,132,360,,Desa,Y
LP002065,Pria,Y,3+,Lulus,T,15000,0,300,360,1,Desa,Y
LP002067,Pria,Y,1,Lulus,Y,8666,4983,376,360,0,Desa,T
LP002068,Pria,T,0,Lulus,T,4917,0,130,360,0,Desa,Y
LP002082,Pria,Y,0,Lulus,Y,5818,2160,184,360,1,Semikota,Y
LP002086,Wanita,Y,0,Lulus,T,4333,2451,110,360,1,Kota,T
LP002087,Wanita,T,0,Lulus,T,2500,0,67,360,1,Kota,Y
LP002097,Pria,T,1,Lulus,T,4384,1793,117,360,1,Kota,Y
LP002098,Pria,T,0,Lulus,T,2935,0,98,360,1,Semikota,Y
LP002100,Pria,T,,Lulus,T,2833,0,71,360,1,Kota,Y
LP002101,Pria,Y,0,Lulus,,63337,0,490,180,1,Kota,Y
LP002103,,Y,1,Lulus,Y,9833,1833,182,180,1,Kota,Y
LP002106,Pria,Y,,Lulus,Y,5503,4490,70,,1,Semikota,Y
LP002110,Pria,Y,1,Lulus,,5250,688,160,360,1,Desa,Y
LP002112,Pria,Y,2,Lulus,Y,2500,4600,176,360,1,Desa,Y
LP002113,Wanita,T,3+,Tidak Lulus,T,1830,0,,360,0,Kota,T
LP002114,Wanita,T,0,Lulus,T,4160,0,71,360,1,Semikota,Y
LP002115,Pria,Y,3+,Tidak Lulus,T,2647,1587,173,360,1,Desa,T
LP002116,Wanita,T,0,Lulus,T,2378,0,46,360,1,Desa,T
LP002119,Pria,Y,1,Tidak Lulus,T,4554,1229,158,360,1,Kota,Y
LP002126,Pria,Y,3+,Tidak Lulus,T,3173,0,74,360,1,Semikota,Y
LP002128,Pria,Y,2,Lulus,,2583,2330,125,360,1,Desa,Y
LP002129,Pria,Y,0,Lulus,T,2499,2458,160,360,1,Semikota,Y
LP002130,Pria,Y,,Tidak Lulus,T,3523,3230,152,360,0,Desa,T
LP002131,Pria,Y,2,Tidak Lulus,T,3083,2168,126,360,1,Kota,Y
LP002137,Pria,Y,0,Lulus,T,6333,4583,259,360,,Semikota,Y
LP002138,Pria,Y,0,Lulus,T,2625,6250,187,360,1,Desa,Y
LP002139,Pria,Y,0,Lulus,T,9083,0,228,360,1,Semikota,Y
LP002140,Pria,T,0,Lulus,T,8750,4167,308,360,1,Desa,T
LP002141,Pria,Y,3+,Lulus,T,2666,2083,95,360,1,Desa,Y
LP002142,Wanita,Y,0,Lulus,Y,5500,0,105,360,0,Desa,T
LP002143,Wanita,Y,0,Lulus,T,2423,505,130,360,1,Semikota,Y
LP002144,Wanita,T,,Lulus,T,3813,0,116,180,1,Kota,Y
LP002149,Pria,Y,2,Lulus,T,8333,3167,165,360,1,Desa,Y
LP002151,Pria,Y,1,Lulus,T,3875,0,67,360,1,Kota,T
LP002158,Pria,Y,0,Tidak Lulus,T,3000,1666,100,480,0,Kota,T
LP002160,Pria,Y,3+,Lulus,T,5167,3167,200,360,1,Semikota,Y
LP002161,Wanita,T,1,Lulus,T,4723,0,81,360,1,Semikota,T
LP002170,Pria,Y,2,Lulus,T,5000,3667,236,360,1,Semikota,Y
LP002175,Pria,Y,0,Lulus,T,4750,2333,130,360,1,Kota,Y
LP002178,Pria,Y,0,Lulus,T,3013,3033,95,300,,Kota,Y
LP002180,Pria,T,0,Lulus,Y,6822,0,141,360,1,Desa,Y
LP002181,Pria,T,0,Tidak Lulus,T,6216,0,133,360,1,Desa,T
LP002187,Pria,T,0,Lulus,T,2500,0,96,480,1,Semikota,T
LP002188,Pria,T,0,Lulus,T,5124,0,124,,0,Desa,T
LP002190,Pria,Y,1,Lulus,T,6325,0,175,360,1,Semikota,Y
LP002191,Pria,Y,0,Lulus,T,19730,5266,570,360,1,Desa,T
LP002194,Wanita,T,0,Lulus,Y,15759,0,55,360,1,Semikota,Y
LP002197,Pria,Y,2,Lulus,T,5185,0,155,360,1,Semikota,Y
LP002201,Pria,Y,2,Lulus,Y,9323,7873,380,300,1,Desa,Y
LP002205,Pria,T,1,Lulus,T,3062,1987,111,180,0,Kota,T
LP002209,Wanita,T,0,Lulus,,2764,1459,110,360,1,Kota,Y
LP002211,Pria,Y,0,Lulus,T,4817,923,120,180,1,Kota,Y
LP002219,Pria,Y,3+,Lulus,T,8750,4996,130,360,1,Desa,Y
LP002223,Pria,Y,0,Lulus,T,4310,0,130,360,,Semikota,Y
LP002224,Pria,T,0,Lulus,T,3069,0,71,480,1,Kota,T
LP002225,Pria,Y,2,Lulus,T,5391,0,130,360,1,Kota,Y
LP002226,Pria,Y,0,Lulus,,3333,2500,128,360,1,Semikota,Y
LP002229,Pria,T,0,Lulus,T,5941,4232,296,360,1,Semikota,Y
LP002231,Wanita,T,0,Lulus,T,6000,0,156,360,1,Kota,Y
LP002234,Pria,T,0,Lulus,Y,7167,0,128,360,1,Kota,Y
LP002236,Pria,Y,2,Lulus,T,4566,0,100,360,1,Kota,T
LP002237,Pria,T,1,Lulus,,3667,0,113,180,1,Kota,Y
LP002239,Pria,T,0,Tidak Lulus,T,2346,1600,132,360,1,Semikota,Y
LP002243,Pria,Y,0,Tidak Lulus,T,3010,3136,,360,0,Kota,T
LP002244,Pria,Y,0,Lulus,T,2333,2417,136,360,1,Kota,Y
LP002250,Pria,Y,0,Lulus,T,5488,0,125,360,1,Desa,Y
LP002255,Pria,T,3+,Lulus,T,9167,0,185,360,1,Desa,Y
LP002262,Pria,Y,3+,Lulus,T,9504,0,275,360,1,Desa,Y
LP002263,Pria,Y,0,Lulus,T,2583,2115,120,360,,Kota,Y
LP002265,Pria,Y,2,Tidak Lulus,T,1993,1625,113,180,1,Semikota,Y
LP002266,Pria,Y,2,Lulus,T,3100,1400,113,360,1,Kota,Y
LP002272,Pria,Y,2,Lulus,T,3276,484,135,360,,Semikota,Y
LP002277,Wanita,T,0,Lulus,T,3180,0,71,360,0,Kota,T
LP002281,Pria,Y,0,Lulus,T,3033,1459,95,360,1,Kota,Y
LP002284,Pria,T,0,Tidak Lulus,T,3902,1666,109,360,1,Desa,Y
LP002287,Wanita,T,0,Lulus,T,1500,1800,103,360,0,Semikota,T
LP002288,Pria,Y,2,Tidak Lulus,T,2889,0,45,180,0,Kota,T
LP002296,Pria,T,0,Tidak Lulus,T,2755,0,65,300,1,Desa,T
LP002297,Pria,T,0,Lulus,T,2500,20000,103,360,1,Semikota,Y
LP002300,Wanita,T,0,Tidak Lulus,T,1963,0,53,360,1,Semikota,Y
LP002301,Wanita,T,0,Lulus,Y,7441,0,194,360,1,Desa,T
LP002305,Wanita,T,0,Lulus,T,4547,0,115,360,1,Semikota,Y
LP002308,Pria,Y,0,Tidak Lulus,T,2167,2400,115,360,1,Kota,Y
LP002314,Wanita,T,0,Tidak Lulus,T,2213,0,66,360,1,Desa,Y
LP002315,Pria,Y,1,Lulus,T,8300,0,152,300,0,Semikota,T
LP002317,Pria,Y,3+,Lulus,T,81000,0,360,360,0,Desa,T
LP002318,Wanita,T,1,Tidak Lulus,Y,3867,0,62,360,1,Semikota,T
LP002319,Pria,Y,0,Lulus,,6256,0,160,360,,Kota,Y
LP002328,Pria,Y,0,Tidak Lulus,T,6096,0,218,360,0,Desa,T
LP002332,Pria,Y,0,Tidak Lulus,T,2253,2033,110,360,1,Desa,Y
LP002335,Wanita,Y,0,Tidak Lulus,T,2149,3237,178,360,0,Semikota,T
LP002337,Wanita,T,0,Lulus,T,2995,0,60,360,1,Kota,Y
LP002341,Wanita,T,1,Lulus,T,2600,0,160,360,1,Kota,T
LP002342,Pria,Y,2,Lulus,Y,1600,20000,239,360,1,Kota,T
LP002345,Pria,Y,0,Lulus,T,1025,2773,112,360,1,Desa,Y
LP002347,Pria,Y,0,Lulus,T,3246,1417,138,360,1,Semikota,Y
LP002348,Pria,Y,0,Lulus,T,5829,0,138,360,1,Desa,Y
LP002357,Wanita,T,0,Tidak Lulus,T,2720,0,80,,0,Kota,T
LP002361,Pria,Y,0,Lulus,T,1820,1719,100,360,1,Kota,Y
LP002362,Pria,Y,1,Lulus,T,7250,1667,110,,0,Kota,T
LP002364,Pria,Y,0,Lulus,T,14880,0,96,360,1,Semikota,Y
LP002366,Pria,Y,0,Lulus,T,2666,4300,121,360,1,Desa,Y
LP002367,Wanita,T,1,Tidak Lulus,T,4606,0,81,360,1,Desa,T
LP002368,Pria,Y,2,Lulus,T,5935,0,133,360,1,Semikota,Y
LP002369,Pria,Y,0,Lulus,T,2920,16.12000084,87,360,1,Desa,Y
LP002370,Pria,T,0,Tidak Lulus,T,2717,0,60,180,1,Kota,Y
LP002377,Wanita,T,1,Lulus,Y,8624,0,150,360,1,Semikota,Y
LP002379,Pria,T,0,Lulus,T,6500,0,105,360,0,Desa,T
LP002386,Pria,T,0,Lulus,,12876,0,405,360,1,Semikota,Y
LP002387,Pria,Y,0,Lulus,T,2425,2340,143,360,1,Semikota,Y
LP002390,Pria,T,0,Lulus,T,3750,0,100,360,1,Kota,Y
LP002393,Wanita,,,Lulus,T,10047,0,,240,1,Semikota,Y
LP002398,Pria,T,0,Lulus,T,1926,1851,50,360,1,Semikota,Y
LP002401,Pria,Y,0,Lulus,T,2213,1125,,360,1,Kota,Y
LP002403,Pria,T,0,Lulus,Y,10416,0,187,360,0,Kota,T
LP002407,Wanita,Y,0,Tidak Lulus,Y,7142,0,138,360,1,Desa,Y
LP002408,Pria,T,0,Lulus,T,3660,5064,187,360,1,Semikota,Y
LP002409,Pria,Y,0,Lulus,T,7901,1833,180,360,1,Desa,Y
LP002418,Pria,T,3+,Tidak Lulus,T,4707,1993,148,360,1,Semikota,Y
LP002422,Pria,T,1,Lulus,T,37719,0,152,360,1,Semikota,Y
LP002424,Pria,Y,0,Lulus,T,7333,8333,175,300,,Desa,Y
LP002429,Pria,Y,1,Lulus,Y,3466,1210,130,360,1,Desa,Y
LP002434,Pria,Y,2,Tidak Lulus,T,4652,0,110,360,1,Desa,Y
LP002435,Pria,Y,0,Lulus,,3539,1376,55,360,1,Desa,T
LP002443,Pria,Y,2,Lulus,T,3340,1710,150,360,0,Desa,T
LP002444,Pria,T,1,Tidak Lulus,Y,2769,1542,190,360,,Semikota,T
LP002446,Pria,Y,2,Tidak Lulus,T,2309,1255,125,360,0,Desa,T
LP002447,Pria,Y,2,Tidak Lulus,T,1958,1456,60,300,,Kota,Y
LP002448,Pria,Y,0,Lulus,T,3948,1733,149,360,0,Desa,T
LP002449,Pria,Y,0,Lulus,T,2483,2466,90,180,0,Desa,Y
LP002453,Pria,T,0,Lulus,Y,7085,0,84,360,1,Semikota,Y
LP002455,Pria,Y,2,Lulus,T,3859,0,96,360,1,Semikota,Y
LP002459,Pria,Y,0,Lulus,T,4301,0,118,360,1,Kota,Y
LP002467,Pria,Y,0,Lulus,T,3708,2569,173,360,1,Kota,T
LP002472,Pria,T,2,Lulus,T,4354,0,136,360,1,Desa,Y
LP002473,Pria,Y,0,Lulus,T,8334,0,160,360,1,Semikota,T
LP002478,,Y,0,Lulus,Y,2083,4083,160,360,,Semikota,Y
LP002484,Pria,Y,3+,Lulus,T,7740,0,128,180,1,Kota,Y
LP002487,Pria,Y,0,Lulus,T,3015,2188,153,360,1,Desa,Y
LP002489,Wanita,T,1,Tidak Lulus,,5191,0,132,360,1,Semikota,Y
LP002493,Pria,T,0,Lulus,T,4166,0,98,360,0,Semikota,T
LP002494,Pria,T,0,Lulus,T,6000,0,140,360,1,Desa,Y
LP002500,Pria,Y,3+,Tidak Lulus,T,2947,1664,70,180,0,Kota,T
LP002501,,Y,0,Lulus,T,16692,0,110,360,1,Semikota,Y
LP002502,Wanita,Y,2,Tidak Lulus,,210,2917,98,360,1,Semikota,Y
LP002505,Pria,Y,0,Lulus,T,4333,2451,110,360,1,Kota,T
LP002515,Pria,Y,1,Lulus,Y,3450,2079,162,360,1,Semikota,Y
LP002517,Pria,Y,1,Tidak Lulus,T,2653,1500,113,180,0,Desa,T
LP002519,Pria,Y,3+,Lulus,T,4691,0,100,360,1,Semikota,Y
LP002522,Wanita,T,0,Lulus,Y,2500,0,93,360,,Kota,Y
LP002524,Pria,T,2,Lulus,T,5532,4648,162,360,1,Desa,Y
LP002527,Pria,Y,2,Lulus,Y,16525,1014,150,360,1,Desa,Y
LP002529,Pria,Y,2,Lulus,T,6700,1750,230,300,1,Semikota,Y
LP002530,,Y,2,Lulus,T,2873,1872,132,360,0,Semikota,T
LP002531,Pria,Y,1,Lulus,Y,16667,2250,86,360,1,Semikota,Y
LP002533,Pria,Y,2,Lulus,T,2947,1603,,360,1,Kota,T
LP002534,Wanita,T,0,Tidak Lulus,T,4350,0,154,360,1,Desa,Y
LP002536,Pria,Y,3+,Tidak Lulus,T,3095,0,113,360,1,Desa,Y
LP002537,Pria,Y,0,Lulus,T,2083,3150,128,360,1,Semikota,Y
LP002541,Pria,Y,0,Lulus,T,10833,0,234,360,1,Semikota,Y
LP002543,Pria,Y,2,Lulus,T,8333,0,246,360,1,Semikota,Y
LP002544,Pria,Y,1,Tidak Lulus,T,1958,2436,131,360,1,Desa,Y
LP002545,Pria,T,2,Lulus,T,3547,0,80,360,0,Desa,T
LP002547,Pria,Y,1,Lulus,T,18333,0,500,360,1,Kota,T
LP002555,Pria,Y,2,Lulus,Y,4583,2083,160,360,1,Semikota,Y
LP002556,Pria,T,0,Lulus,T,2435,0,75,360,1,Kota,T
LP002560,Pria,T,0,Tidak Lulus,T,2699,2785,96,360,,Semikota,Y
LP002562,Pria,Y,1,Tidak Lulus,T,5333,1131,186,360,,Kota,Y
LP002571,Pria,T,0,Tidak Lulus,T,3691,0,110,360,1,Desa,Y
LP002582,Wanita,T,0,Tidak Lulus,Y,17263,0,225,360,1,Semikota,Y
LP002585,Pria,Y,0,Lulus,T,3597,2157,119,360,0,Desa,T
LP002586,Wanita,Y,1,Lulus,T,3326,913,105,84,1,Semikota,Y
LP002587,Pria,Y,0,Tidak Lulus,T,2600,1700,107,360,1,Desa,Y
LP002588,Pria,Y,0,Lulus,T,4625,2857,111,12,,Kota,Y
LP002600,Pria,Y,1,Lulus,Y,2895,0,95,360,1,Semikota,Y
LP002602,Pria,T,0,Lulus,T,6283,4416,209,360,0,Desa,T
LP002603,Wanita,T,0,Lulus,T,645,3683,113,480,1,Desa,Y
LP002606,Wanita,T,0,Lulus,T,3159,0,100,360,1,Semikota,Y
LP002615,Pria,Y,2,Lulus,T,4865,5624,208,360,1,Semikota,Y
LP002618,Pria,Y,1,Tidak Lulus,T,4050,5302,138,360,,Desa,T
LP002619,Pria,Y,0,Tidak Lulus,T,3814,1483,124,300,1,Semikota,Y
LP002622,Pria,Y,2,Lulus,T,3510,4416,243,360,1,Desa,Y
LP002624,Pria,Y,0,Lulus,T,20833,6667,480,360,,Kota,Y
LP002625,,T,0,Lulus,T,3583,0,96,360,1,Kota,T
LP002626,Pria,Y,0,Lulus,Y,2479,3013,188,360,1,Kota,Y
LP002634,Wanita,T,1,Lulus,T,13262,0,40,360,1,Kota,Y
LP002637,Pria,T,0,Tidak Lulus,T,3598,1287,100,360,1,Desa,T
LP002640,Pria,Y,1,Lulus,T,6065,2004,250,360,1,Semikota,Y
LP002643,Pria,Y,2,Lulus,T,3283,2035,148,360,1,Kota,Y
LP002648,Pria,Y,0,Lulus,T,2130,6666,70,180,1,Semikota,T
LP002652,Pria,T,0,Lulus,T,5815,3666,311,360,1,Desa,T
LP002659,Pria,Y,3+,Lulus,T,3466,3428,150,360,1,Desa,Y
LP002670,Wanita,Y,2,Lulus,T,2031,1632,113,480,1,Semikota,Y
LP002682,Pria,Y,,Tidak Lulus,T,3074,1800,123,360,0,Semikota,T
LP002683,Pria,T,0,Lulus,T,4683,1915,185,360,1,Semikota,T
LP002684,Wanita,T,0,Tidak Lulus,T,3400,0,95,360,1,Desa,T
LP002689,Pria,Y,2,Tidak Lulus,T,2192,1742,45,360,1,Semikota,Y
LP002690,Pria,T,0,Lulus,T,2500,0,55,360,1,Semikota,Y
LP002692,Pria,Y,3+,Lulus,Y,5677,1424,100,360,1,Desa,Y
LP002693,Pria,Y,2,Lulus,Y,7948,7166,480,360,1,Desa,Y
LP002697,Pria,T,0,Lulus,T,4680,2087,,360,1,Semikota,T
LP002699,Pria,Y,2,Lulus,Y,17500,0,400,360,1,Desa,Y
LP002705,Pria,Y,0,Lulus,T,3775,0,110,360,1,Semikota,Y
LP002706,Pria,Y,1,Tidak Lulus,T,5285,1430,161,360,0,Semikota,Y
LP002714,Pria,T,1,Tidak Lulus,T,2679,1302,94,360,1,Semikota,Y
LP002716,Pria,T,0,Tidak Lulus,T,6783,0,130,360,1,Semikota,Y
LP002717,Pria,Y,0,Lulus,T,1025,5500,216,360,,Desa,Y
LP002720,Pria,Y,3+,Lulus,T,4281,0,100,360,1,Kota,Y
LP002723,Pria,T,2,Lulus,T,3588,0,110,360,0,Desa,T
LP002729,Pria,T,1,Lulus,T,11250,0,196,360,,Semikota,T
LP002731,Wanita,T,0,Tidak Lulus,Y,18165,0,125,360,1,Kota,Y
LP002732,Pria,T,0,Tidak Lulus,,2550,2042,126,360,1,Desa,Y
LP002734,Pria,Y,0,Lulus,T,6133,3906,324,360,1,Kota,Y
LP002738,Pria,T,2,Lulus,T,3617,0,107,360,1,Semikota,Y
LP002739,Pria,Y,0,Tidak Lulus,T,2917,536,66,360,1,Desa,T
LP002740,Pria,Y,3+,Lulus,T,6417,0,157,180,1,Desa,Y
LP002741,Wanita,Y,1,Lulus,T,4608,2845,140,180,1,Semikota,Y
LP002743,Wanita,T,0,Lulus,T,2138,0,99,360,0,Semikota,T
LP002753,Wanita,T,1,Lulus,,3652,0,95,360,1,Semikota,Y
LP002755,Pria,Y,1,Tidak Lulus,T,2239,2524,128,360,1,Kota,Y
LP002757,Wanita,Y,0,Tidak Lulus,T,3017,663,102,360,,Semikota,Y
LP002767,Pria,Y,0,Lulus,T,2768,1950,155,360,1,Desa,Y
LP002768,Pria,T,0,Tidak Lulus,T,3358,0,80,36,1,Semikota,T
LP002772,Pria,T,0,Lulus,T,2526,1783,145,360,1,Desa,Y
LP002776,Wanita,T,0,Lulus,T,5000,0,103,360,0,Semikota,T
LP002777,Pria,Y,0,Lulus,T,2785,2016,110,360,1,Desa,Y
LP002778,Pria,Y,2,Lulus,Y,6633,0,,360,0,Desa,T
LP002784,Pria,Y,1,Tidak Lulus,T,2492,2375,,360,1,Desa,Y
LP002785,Pria,Y,1,Lulus,T,3333,3250,158,360,1,Kota,Y
LP002788,Pria,Y,0,Tidak Lulus,T,2454,2333,181,360,0,Kota,T
LP002789,Pria,Y,0,Lulus,T,3593,4266,132,180,0,Desa,T
LP002792,Pria,Y,1,Lulus,T,5468,1032,26,360,1,Semikota,Y
LP002794,Wanita,T,0,Lulus,T,2667,1625,84,360,,Kota,Y
LP002795,Pria,Y,3+,Lulus,Y,10139,0,260,360,1,Semikota,Y
LP002798,Pria,Y,0,Lulus,T,3887,2669,162,360,1,Semikota,Y
LP002804,Wanita,Y,0,Lulus,T,4180,2306,182,360,1,Semikota,Y
LP002807,Pria,Y,2,Tidak Lulus,T,3675,242,108,360,1,Semikota,Y
LP002813,Wanita,Y,1,Lulus,Y,19484,0,600,360,1,Semikota,Y
LP002820,Pria,Y,0,Lulus,T,5923,2054,211,360,1,Desa,Y
LP002821,Pria,T,0,Tidak Lulus,Y,5800,0,132,360,1,Semikota,Y
LP002832,Pria,Y,2,Lulus,T,8799,0,258,360,0,Kota,T
LP002833,Pria,Y,0,Tidak Lulus,T,4467,0,120,360,,Desa,Y
LP002836,Pria,T,0,Lulus,T,3333,0,70,360,1,Kota,Y
LP002837,Pria,Y,3+,Lulus,T,3400,2500,123,360,0,Desa,T
LP002840,Wanita,T,0,Lulus,T,2378,0,9,360,1,Kota,T
LP002841,Pria,Y,0,Lulus,T,3166,2064,104,360,0,Kota,T
LP002842,Pria,Y,1,Lulus,T,3417,1750,186,360,1,Kota,Y
LP002847,Pria,Y,,Lulus,T,5116,1451,165,360,0,Kota,T
LP002855,Pria,Y,2,Lulus,T,16666,0,275,360,1,Kota,Y
LP002862,Pria,Y,2,Tidak Lulus,T,6125,1625,187,480,1,Semikota,T
LP002863,Pria,Y,3+,Lulus,T,6406,0,150,360,1,Semikota,T
LP002868,Pria,Y,2,Lulus,T,3159,461,108,84,1,Kota,Y
LP002872,,Y,0,Lulus,T,3087,2210,136,360,0,Semikota,T
LP002874,Pria,T,0,Lulus,T,3229,2739,110,360,1,Kota,Y
LP002877,Pria,Y,1,Lulus,T,1782,2232,107,360,1,Desa,Y
LP002888,Pria,T,0,Lulus,,3182,2917,161,360,1,Kota,Y
LP002892,Pria,Y,2,Lulus,T,6540,0,205,360,1,Semikota,Y
LP002893,Pria,T,0,Lulus,T,1836,33837,90,360,1,Kota,T
LP002894,Wanita,Y,0,Lulus,T,3166,0,36,360,1,Semikota,Y
LP002898,Pria,Y,1,Lulus,T,1880,0,61,360,,Desa,T
LP002911,Pria,Y,1,Lulus,T,2787,1917,146,360,0,Desa,T
LP002912,Pria,Y,1,Lulus,T,4283,3000,172,84,1,Desa,T
LP002916,Pria,Y,0,Lulus,T,2297,1522,104,360,1,Kota,Y
LP002917,Wanita,T,0,Tidak Lulus,T,2165,0,70,360,1,Semikota,Y
LP002925,,T,0,Lulus,T,4750,0,94,360,1,Semikota,Y
LP002926,Pria,Y,2,Lulus,Y,2726,0,106,360,0,Semikota,T
LP002928,Pria,Y,0,Lulus,T,3000,3416,56,180,1,Semikota,Y
LP002931,Pria,Y,2,Lulus,Y,6000,0,205,240,1,Semikota,T
LP002933,,T,3+,Lulus,Y,9357,0,292,360,1,Semikota,Y
LP002936,Pria,Y,0,Lulus,T,3859,3300,142,180,1,Desa,Y
LP002938,Pria,Y,0,Lulus,Y,16120,0,260,360,1,Kota,Y
LP002940,Pria,T,0,Tidak Lulus,T,3833,0,110,360,1,Desa,Y
LP002941,Pria,Y,2,Tidak Lulus,Y,6383,1000,187,360,1,Desa,T
LP002943,Pria,T,,Lulus,T,2987,0,88,360,0,Semikota,T
LP002945,Pria,Y,0,Lulus,Y,9963,0,180,360,1,Desa,Y
LP002948,Pria,Y,2,Lulus,T,5780,0,192,360,1,Kota,Y
LP002949,Wanita,T,3+,Lulus,,416,41667,350,180,,Kota,T
LP002950,Pria,Y,0,Tidak Lulus,,2894,2792,155,360,1,Desa,Y
LP002953,Pria,Y,3+,Lulus,T,5703,0,128,360,1,Kota,Y
LP002958,Pria,T,0,Lulus,T,3676,4301,172,360,1,Desa,Y
LP002959,Wanita,Y,1,Lulus,T,12000,0,496,360,1,Semikota,Y
LP002960,Pria,Y,0,Tidak Lulus,T,2400,3800,,180,1,Kota,T
LP002961,Pria,Y,1,Lulus,T,3400,2500,173,360,1,Semikota,Y
LP002964,Pria,Y,2,Tidak Lulus,T,3987,1411,157,360,1,Desa,Y
LP002974,Pria,Y,0,Lulus,T,3232,1950,108,360,1,Desa,Y
LP002978,Wanita,T,0,Lulus,T,2900,0,71,360,1,Desa,Y
LP002979,Pria,Y,3+,Lulus,T,4106,0,40,180,1,Desa,Y
LP002983,Pria,Y,1,Lulus,T,8072,240,253,360,1,Kota,Y
LP002984,Pria,Y,2,Lulus,T,7583,0,187,360,1,Kota,Y
LP002990,Wanita,T,0,Lulus,Y,4583,0,133,360,0,Semikota,T
